id,zipcode,median_region_price,price,condition,sugestao,vantagem_pct
7895500070,98001,259000.0,240000.0,2,nao_comprar,7.3
3717000160,98001,259000.0,287000.0,3,nao_comprar,-10.8
8961960160,98001,259000.0,480000.0,3,nao_comprar,-85.3
4014400292,98001,259000.0,465000.0,3,nao_comprar,-79.5
1115450240,98001,259000.0,360000.0,3,nao_comprar,-39.0
3353400435,98001,259000.0,230000.0,3,comprar,11.2
9262800171,98001,259000.0,252000.0,4,comprar,2.7
3353401710,98001,259000.0,227950.0,5,comprar,12.0
8159610030,98001,259000.0,196000.0,3,comprar,24.3
3329500060,98001,259000.0,305000.0,3,nao_comprar,-17.8
7967200060,98001,259000.0,243000.0,4,comprar,6.2
8159610060,98001,259000.0,233000.0,3,comprar,10.0
3329530200,98001,259000.0,205000.0,3,comprar,20.8
5462100240,98001,259000.0,196500.0,3,comprar,24.1
8001400340,98001,259000.0,289000.0,3,nao_comprar,-11.6
3353400860,98001,259000.0,249900.0,5,comprar,3.5
3751600030,98001,259000.0,100000.0,3,comprar,61.4
4401150070,98001,259000.0,320000.0,3,nao_comprar,-23.6
1687000270,98001,259000.0,267000.0,3,nao_comprar,-3.1
2214800270,98001,259000.0,355000.0,4,nao_comprar,-37.1
1311100520,98001,259000.0,250000.0,3,comprar,3.5
5412100550,98001,259000.0,355000.0,3,nao_comprar,-37.1
6181430800,98001,259000.0,330000.0,3,nao_comprar,-27.4
3356406510,98001,259000.0,196440.0,3,comprar,24.2
9510930350,98001,259000.0,429000.0,3,nao_comprar,-65.6
5402100045,98001,259000.0,189950.0,4,comprar,26.7
3751602329,98001,259000.0,215500.0,3,comprar,16.8
3356404330,98001,259000.0,206000.0,3,comprar,20.5
3874000240,98001,259000.0,210000.0,3,comprar,18.9
8159620160,98001,259000.0,284200.0,3,nao_comprar,-9.7
5651500140,98001,259000.0,272000.0,3,nao_comprar,-5.0
7967600069,98001,259000.0,185000.0,3,comprar,28.6
7351000160,98001,259000.0,332000.0,3,nao_comprar,-28.2
3354400060,98001,259000.0,238000.0,3,comprar,8.1
