id,preco_inicial,valor_reforma,preco_final,valor_venda_final,lucro_final,pct_lucro_final,reformas
7895500070,240000.0,14200.0,252000.0,340800.0,88800.0,35.24,reformar
3353400435,230000.0,0.0,230000.0,275475.0,45475.0,19.77,nao_reformar
9262800171,252000.0,0.0,252000.0,285200.0,33200.0,13.17,nao_reformar
3353401710,227950.0,0.0,227950.0,275270.0,47320.0,20.76,nao_reformar
8159610030,196000.0,0.0,196000.0,272075.0,76075.0,38.81,nao_reformar
7967200060,243000.0,0.0,243000.0,276775.0,33775.0,13.9,nao_reformar
8159610060,233000.0,0.0,233000.0,275800.0,42800.0,18.37,nao_reformar
3329530200,205000.0,0.0,205000.0,272975.0,67975.0,33.16,nao_reformar
5462100240,196500.0,0.0,196500.0,285650.0,89150.0,45.37,nao_reformar
3353400860,249900.0,0.0,249900.0,277465.0,27565.0,11.03,nao_reformar
3751600030,100000.0,0.0,100000.0,262475.0,162475.0,162.48,nao_reformar
1687000270,267000.0,14685.0,280350.0,352440.0,72090.0,25.71,reformar
1311100520,250000.0,0.0,250000.0,291000.0,41000.0,16.4,nao_reformar
3356406510,196440.0,0.0,196440.0,285644.0,89204.0,45.41,nao_reformar
5402100045,189950.0,0.0,189950.0,278995.0,89045.0,46.88,nao_reformar
3751602329,215500.0,0.0,215500.0,287550.0,72050.0,33.43,nao_reformar
3356404330,206000.0,0.0,206000.0,273100.0,67100.0,32.57,nao_reformar
3874000240,210000.0,0.0,210000.0,273500.0,63500.0,30.24,nao_reformar
8159620160,284200.0,15631.0,298410.0,375144.0,76734.0,25.71,reformar
5651500140,272000.0,14960.0,285600.0,359040.0,73440.0,25.71,reformar
7967600069,185000.0,0.0,185000.0,271000.0,86000.0,46.49,nao_reformar
3354400060,238000.0,0.0,238000.0,289800.0,51800.0,21.76,nao_reformar
5413200140,213550.0,0.0,213550.0,273855.0,60305.0,28.24,nao_reformar
5556800260,230000.0,0.0,230000.0,283000.0,53000.0,23.04,nao_reformar
128500260,262000.0,0.0,262000.0,292200.0,30200.0,11.53,nao_reformar
7696600240,165000.0,0.0,165000.0,269000.0,104000.0,63.03,nao_reformar
1687000240,276000.0,15180.0,289800.0,364320.0,74520.0,25.71,reformar
1312920060,265000.0,14575.0,278250.0,349800.0,71550.0,25.71,reformar
1687000200,259000.0,0.0,259000.0,291900.0,32900.0,12.7,nao_reformar
2366800055,225000.0,0.0,225000.0,275000.0,50000.0,22.22,nao_reformar
3750605349,210500.0,0.0,210500.0,281050.0,70550.0,33.52,nao_reformar
3750603732,276000.0,15180.0,289800.0,364320.0,74520.0,25.71,reformar
3751604169,279000.0,15345.0,292950.0,368280.0,75330.0,25.71,reformar
3751600176,196000.0,0.0,196000.0,279600.0,83600.0,42.65,nao_reformar
3356407665,180000.0,0.0,180000.0,270475.0,90475.0,50.26,nao_reformar
7585000110,201700.0,0.0,201700.0,280170.0,78470.0,38.9,nao_reformar
1311000600,250000.0,0.0,250000.0,277475.0,27475.0,10.99,nao_reformar
304100090,215000.0,0.0,215000.0,273975.0,58975.0,27.43,nao_reformar
3751603173,212500.0,0.0,212500.0,287250.0,74750.0,35.18,nao_reformar
9262800057,269950.0,14847.25,283447.5,356334.0,72886.5,25.71,reformar
1311300100,221000.0,0.0,221000.0,282100.0,61100.0,27.65,nao_reformar
4013800131,267500.0,14712.5,280875.0,353100.0,72225.0,25.71,reformar
1312200080,224000.0,0.0,224000.0,288400.0,64400.0,28.75,nao_reformar
7237590010,214100.0,0.0,214100.0,287410.0,73310.0,34.24,nao_reformar
1311500020,198000.0,0.0,198000.0,272275.0,74275.0,37.51,nao_reformar
5556900080,169000.0,0.0,169000.0,269375.0,100375.0,59.39,nao_reformar
